"country","capital","latitude","longitude","closest_capital","farthest_capital"
"Senegal","Dakar",14.69,-17.44,"Banjul","Honiara"
"Serbia","Belgrade",44.8,20.47,"Sarajevo","Wellington"
"Seychelles","Victoria",-4.62,55.45,"Mogadishu","Mexico City"
"Sierra Leone","Freetown",8.48,-13.23,"Conakry","Nukunonu"
"Singapore","Singapore",1.29,103.85,"Kuala Lumpur","Quito"
"Slovakia","Bratislava",48.15,17.11,"Vienna","Wellington"
"Slovenia","Ljubljana",46.05,14.51,"Zagreb","Wellington"
"Solomon Islands","Honiara",-9.43,159.95,"Nukunonu","Bissau"
"Somalia","Mogadishu",2.04,45.34,"Nairobi","Papeete"
"South Africa","Pretoria",-25.74,28.19,"Gaborone","Yaren"
"South Georgia and the South Sandwich Islands","Grytviken",-54.28,-36.51,"Stanley","Edo"
"South Korea","Seoul",37.57,126.98,"Pyongyang","Montevideo"
"Spain","Madrid",40.42,-3.7,"Andorra la Vella","Wellington"
"Sri Lanka","Colombo",6.93,79.85,"Mal�","Quito"
"Sudan","Khartoum",15.55,32.53,"Asmara","Papeete"
"Suriname","Paramaribo",5.87,-55.17,"Cayenne","Dili"
"Svalbard and Jan Mayen","Longyearbyen",78.22,15.64,"Diego Garcia","Willemstad"
"Swaziland","Mbabane",-26.32,31.13,"Maputo","Yaren"
"Sweden","Stockholm",59.33,18.06,"Tallinn","Wellington"
"Switzerland","Berne",46.95,7.45,"Vaduz","Wellington"
"Syria","Damascus",33.51,36.29,"Beirut","Adamstown"
"Taiwan","Taipei",25.05,121.53,"Hong Kong","Asunci�n"
"Tajikistan","Dushanbe",38.54,68.78,"Tashkent","Adamstown"
"Tanzania","Dodoma",-6.17,35.74,"Nairobi","Papeete"
"Thailand","Bangkok",13.75,100.5,"Vientiane","Lima"
"Togo","Lom�",6.14,1.21,"Porto-Novo","Funafuti"
"Tokelau","Nukunonu",-171.85,-9.2,"Funafuti","Monrovia"
"Tonga","Nuku'alofa",-21.13,-175.2,"Alofi","Niamey"
"Trinidad and Tobago","Port of Spain",10.67,-61.52,"St. George's","Dili"
"Tunisia","Tunis",36.82,10.17,"Valletta","Wellington"
"Turkey","Ankara",39.92,32.85,"Jerusalem","Adamstown"
"Turkmenistan","Ashkhabad",37.95,58.38,"Tehran","Adamstown"
"Turks and Caicos Islands","Cockburn Town",21.46,-71.14,"Port-au-Prince","The Settlement"
"Tuvalu","Funafuti",-8.52,179.19,"Mata-Utu","Accra"
"U.S. Virgin Islands","Charlotte Amalie",18.34,-64.93,"Road Town","The Settlement"
"Uganda","Kampala",0.32,32.58,"Kigali","Papeete"
"Ukraine","Kiev",50.45,30.52,"Chi?in?u","Wellington"
"United Arab Emirates","Abu Dhabi",24.47,54.37,"Doha","Adamstown"
"United Kingdom","London",51.51,-0.13,"St Peter Port","Wellington"
"United States","Washington",38.9,-77.04,"Ottawa","West Island"
"Uruguay","Montevideo",-34.83,-56.17,"Buenos Aires","Seoul"
"Uzbekistan","Tashkent",41.26,69.22,"Dushanbe","Adamstown"
"Vanuatu","Port Vila",-17.73,168.32,"Noumea","Nouakchott"
"Vatican","Vatican",41.9,12.45,"Rome","Wellington"
"Venezuela","Caracas",10.49,-66.88,"Oranjestad","The Settlement"
"Vietnam","Hanoi",21.02,105.84,"Vientiane","Sucre"
"Wallis and Futuna","Mata-Utu",-13.28,-176.17,"Apia","Niamey"
"Western Sahara","El Aai�n",27.16,-13.2,"Rabat","Kingston"
"Yemen","Sanaa",15.35,44.21,"Djibouti","Adamstown"
"Zambia","Lusaka",-15.41,28.29,"Lusaka","Yaren"
"Zimbabwe","Harare",-17.83,31.05,"Lusaka","Yaren"
